alert_id,entity_name,severity,category,asset_type,created_time,closed_time,closure_duration_minutes,escalated,status,investigation_notes
ALT00089,Microsoft,High,Privilege Escalation,Server,2026-01-01 17:40:00,,,Yes,Open,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00079,Microsoft,Critical,DDoS Attempt,Database,2026-01-02 01:21:00,,,No,In Progress,"Confirmed benign, closed after log review."
ALT00035,Microsoft,High,Credential Stuffing,Network Device,2026-01-02 02:31:00,2026-01-02 03:04:00,33,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00070,Microsoft,High,Data Exfiltration Attempt,Cloud Storage,2026-01-09 21:34:00,2026-01-10 02:19:00,285,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00059,Microsoft,High,Unauthorized Access,Network Device,2026-01-13 01:45:00,,,No,Open,
ALT00002,Microsoft,Low,Credential Stuffing,Network Device,2026-01-13 21:59:00,2026-01-14 03:32:00,333,No,Closed,"Confirmed benign, closed after log review."
ALT00072,Microsoft,Medium,Unauthorized Access,Web Application,2026-01-13 22:48:00,2026-01-14 02:24:00,216,Yes,Closed,"Blocked at firewall, source IP added to watchlist."
ALT00098,Microsoft,Medium,Unauthorized Access,Cloud Storage,2026-01-14 17:59:00,2026-01-14 22:39:00,280,No,Closed,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00073,Microsoft,High,Credential Stuffing,Database,2026-01-14 23:29:00,,,No,Open,Escalated to threat hunting team for deeper investigation.
ALT00009,Microsoft,Critical,Malware Detection,Server,2026-01-15 21:37:00,2026-01-16 00:26:00,169,Yes,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00068,Microsoft,Medium,Privilege Escalation,Network Device,2026-01-19 12:06:00,2026-01-19 14:59:00,173,No,Closed,"Confirmed benign, closed after log review."
ALT00016,Microsoft,Medium,Phishing Campaign,Endpoint,2026-01-20 19:17:00,,,No,Open,"Reviewed and closed, no malicious activity confirmed."
