alert_id,entity_name,severity,category,asset_type,created_time,closed_time,closure_duration_minutes,escalated,status,investigation_notes
ALT00627,Jupiter Aviation Control,Low,Data Exfiltration Attempt,Database,2026-01-01 19:48:00,2026-01-02 00:33:00,285,No,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00240,Eastern Water Utility,Low,Insider Threat Indicator,Network Device,2026-01-02 08:24:00,2026-01-02 11:42:00,198,No,Closed,Reviewed and closed.
ALT00586,Indus Financial Services,Low,Unauthorized Access,Server,2026-01-02 09:14:00,2026-01-02 09:17:00,3,Yes,Closed,No further action required.
ALT00284,Fortis Defense Systems,Medium,Unauthorized Access,Server,2026-01-02 09:28:00,2026-01-02 11:05:00,97,Yes,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00289,Fortis Defense Systems,High,Data Exfiltration Attempt,Network Device,2026-01-02 12:21:00,2026-01-02 18:06:00,345,Yes,Closed,No further action required.
ALT00328,Fortis Defense Systems,Low,Malware,Database,2026-01-03 00:44:00,2026-01-03 02:21:00,97,No,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00434,Ganga Oil & Gas,Medium,Unauthorized Access,Network Device,2026-01-03 04:42:00,2026-01-03 08:56:00,254,No,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00380,Fortis Defense Systems,Low,Malware,Network Device,2026-01-03 08:13:00,2026-01-03 10:54:00,161,No,Closed,Reviewed and closed.
ALT00272,Fortis Defense Systems,High,DDoS,Network Device,2026-01-04 00:33:00,2026-01-04 02:41:00,128,Yes,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00558,Indus Financial Services,Low,Unauthorized Access,Database,2026-01-04 15:13:00,2026-01-04 15:16:00,3,No,Closed,Reviewed and closed.
ALT00422,Ganga Oil & Gas,Medium,Phishing,Endpoint,2026-01-05 21:00:00,2026-01-06 00:26:00,206,No,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00544,Indus Financial Services,Low,Unauthorized Access,IoT Device,2026-01-06 04:46:00,2026-01-06 04:47:00,1,No,Closed,Closed as per standard procedure.
ALT00252,Fortis Defense Systems,High,DDoS,Database,2026-01-06 09:29:00,2026-01-06 16:01:00,392,Yes,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00090,Bharat Telecom Networks,Critical,Insider Threat Indicator,Cloud Workload,2026-01-07 02:14:00,2026-01-07 09:14:00,420,No,Closed,False positive.
ALT00473,Himalayan Healthcare Network,Low,Malware,Server,2026-01-07 14:45:00,2026-01-07 15:42:00,57,Yes,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00612,Jupiter Aviation Control,Critical,Data Exfiltration Attempt,Network Device,2026-01-08 10:56:00,2026-01-08 16:42:00,346,Yes,Closed,False positive.
ALT00060,Apex Power Grid Ltd,High,Insider Threat Indicator,Database,2026-01-08 12:21:00,2026-01-08 20:31:00,490,Yes,Closed,"Cross-referenced with threat intel feed, identified C2 communication pattern, escalated to IR team."
ALT00359,Fortis Defense Systems,Medium,Misconfiguration,Cloud Workload,2026-01-08 12:54:00,2026-01-08 15:31:00,157,Yes,Closed,"Cross-referenced with threat intel feed, identified C2 communication pattern, escalated to IR team."
ALT00194,Eastern Water Utility,Low,Misconfiguration,Network Device,2026-01-09 04:04:00,2026-01-09 07:39:00,215,No,Closed,"Cross-referenced with threat intel feed, identified C2 communication pattern, escalated to IR team."
ALT00086,Bharat Telecom Networks,High,Misconfiguration,Database,2026-01-09 07:18:00,2026-01-09 09:54:00,156,Yes,Closed,No further action required.
ALT00236,Eastern Water Utility,Medium,Malware,Network Device,2026-01-10 00:19:00,2026-01-10 03:14:00,175,No,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00630,Jupiter Aviation Control,Low,DDoS,Cloud Workload,2026-01-10 04:54:00,2026-01-10 07:56:00,182,No,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00398,Fortis Defense Systems,Medium,DDoS,Cloud Workload,2026-01-10 05:17:00,2026-01-10 09:12:00,235,Yes,Closed,False positive.
ALT00465,Himalayan Healthcare Network,Low,Malware,IoT Device,2026-01-11 04:59:00,2026-01-11 08:03:00,184,No,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00469,Himalayan Healthcare Network,Low,Insider Threat Indicator,Server,2026-01-11 21:56:00,2026-01-12 01:43:00,227,Yes,Closed,Reviewed and closed.
ALT00575,Indus Financial Services,Critical,Phishing,Server,2026-01-12 04:11:00,2026-01-12 04:15:00,4,No,Closed,Reviewed and closed.
ALT00499,Himalayan Healthcare Network,Medium,Phishing,IoT Device,2026-01-12 04:36:00,2026-01-12 09:28:00,292,Yes,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00150,Continental Banking Corp,Critical,Malware,Server,2026-01-12 07:25:00,2026-01-12 07:27:00,2,No,Closed,No further action required.
ALT00638,Jupiter Aviation Control,Medium,Misconfiguration,Endpoint,2026-01-12 10:22:00,2026-01-12 10:57:00,35,No,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00345,Fortis Defense Systems,Medium,Phishing,Endpoint,2026-01-12 15:23:00,2026-01-12 16:11:00,48,No,Closed,Closed as per standard procedure.
ALT00258,Fortis Defense Systems,High,Insider Threat Indicator,Cloud Workload,2026-01-13 11:41:00,2026-01-13 16:24:00,283,Yes,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00386,Fortis Defense Systems,Medium,Data Exfiltration Attempt,Endpoint,2026-01-13 12:36:00,2026-01-13 13:33:00,57,No,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00026,Apex Power Grid Ltd,High,Malware,Endpoint,2026-01-13 20:34:00,2026-01-13 23:59:00,205,Yes,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00427,Ganga Oil & Gas,Medium,Data Exfiltration Attempt,Server,2026-01-13 22:07:00,2026-01-14 00:46:00,159,No,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00260,Fortis Defense Systems,Critical,DDoS,Cloud Workload,2026-01-15 17:26:00,2026-01-15 20:34:00,188,Yes,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00412,Ganga Oil & Gas,High,Misconfiguration,Endpoint,2026-01-15 19:25:00,2026-01-16 03:34:00,489,Yes,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00365,Fortis Defense Systems,Medium,Data Exfiltration Attempt,Endpoint,2026-01-16 02:17:00,2026-01-16 07:16:00,299,Yes,Closed,Reviewed and closed.
ALT00027,Apex Power Grid Ltd,Low,Data Exfiltration Attempt,Network Device,2026-01-16 05:24:00,2026-01-16 09:46:00,262,Yes,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00319,Fortis Defense Systems,High,Misconfiguration,Endpoint,2026-01-16 08:55:00,2026-01-16 13:02:00,247,Yes,Closed,"Cross-referenced with threat intel feed, identified C2 communication pattern, escalated to IR team."
ALT00567,Indus Financial Services,Low,DDoS,Server,2026-01-16 11:41:00,2026-01-16 11:43:00,2,No,Closed,False positive.
ALT00024,Apex Power Grid Ltd,Low,Insider Threat Indicator,Server,2026-01-16 12:46:00,2026-01-16 15:23:00,157,Yes,Closed,"Cross-referenced with threat intel feed, identified C2 communication pattern, escalated to IR team."
ALT00607,Jupiter Aviation Control,Critical,Insider Threat Indicator,Server,2026-01-16 20:16:00,2026-01-17 03:00:00,404,No,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00225,Eastern Water Utility,Medium,DDoS,Network Device,2026-01-16 22:08:00,2026-01-17 02:42:00,274,No,Closed,"Cross-referenced with threat intel feed, identified C2 communication pattern, escalated to IR team."
ALT00136,Continental Banking Corp,Medium,DDoS,Cloud Workload,2026-01-17 04:17:00,2026-01-17 04:20:00,3,No,Closed,False positive.
ALT00166,Continental Banking Corp,Medium,Data Exfiltration Attempt,Network Device,2026-01-17 10:06:00,2026-01-17 10:09:00,3,No,Closed,No further action required.
ALT00043,Apex Power Grid Ltd,Medium,Data Exfiltration Attempt,IoT Device,2026-01-18 08:22:00,2026-01-18 11:41:00,199,No,Closed,"Performed forensic triage on affected host, isolated system, initiated containment protocol."
ALT00639,Jupiter Aviation Control,Medium,Unauthorized Access,Server,2026-01-18 09:19:00,2026-01-18 10:47:00,88,No,Closed,"Investigated source IP, confirmed malicious signature, blocked at firewall, root cause documented."
ALT00603,Jupiter Aviation Control,Low,Insider Threat Indicator,IoT Device,2026-01-18 12:42:00,2026-01-18 16:16:00,214,No,Closed,"Correlated with SIEM logs across 3 hosts, identified lateral movement attempt, escalated."
ALT00571,Indus Financial Services,Medium,Insider Threat Indicator,Network Device,2026-01-18 16:09:00,2026-01-18 16:12:00,3,No,Closed,Closed as per standard procedure.
