alert_id,entity_name,severity,category,asset_type,created_time,closed_time,closure_duration_minutes,escalated,status,investigation_notes
ALT00056,MGM Resorts,High,DDoS Attempt,Cloud Storage,2026-01-01 15:06:00,2026-01-01 18:04:00,178,Yes,Closed,"Confirmed benign, closed after log review."
ALT00060,MGM Resorts,Low,Credential Stuffing,Cloud Storage,2026-01-05 03:16:00,2026-01-05 05:04:00,108,Yes,Closed,"Blocked at firewall, source IP added to watchlist."
ALT00093,MGM Resorts,High,Data Exfiltration Attempt,Cloud Storage,2026-01-05 08:23:00,2026-01-05 09:28:00,65,No,Closed,
ALT00009,MGM Resorts,Medium,DDoS Attempt,Network Device,2026-01-07 22:01:00,2026-01-08 04:13:00,372,No,Closed,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00015,MGM Resorts,Low,Misconfiguration Alert,Database,2026-01-09 15:03:00,,,No,In Progress,
ALT00004,MGM Resorts,Low,Unauthorized Access,Cloud Storage,2026-01-11 03:02:00,2026-01-11 08:10:00,308,No,Closed,"No further action required, false positive."
ALT00092,MGM Resorts,Low,Insider Threat Indicator,Server,2026-01-12 05:27:00,2026-01-12 07:11:00,104,No,Closed,"Confirmed benign, closed after log review."
ALT00099,MGM Resorts,Low,Credential Stuffing,Server,2026-01-14 01:23:00,2026-01-14 04:04:00,161,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00045,MGM Resorts,Medium,Misconfiguration Alert,Cloud Storage,2026-01-19 12:23:00,2026-01-19 16:02:00,219,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00072,MGM Resorts,Medium,Insider Threat Indicator,Endpoint,2026-01-21 18:08:00,2026-01-21 20:37:00,149,No,Closed,"No further action required, false positive."
ALT00073,MGM Resorts,Medium,Data Exfiltration Attempt,Web Application,2026-01-27 22:50:00,2026-01-28 01:11:00,141,No,Closed,
ALT00074,MGM Resorts,Low,Misconfiguration Alert,Endpoint,2026-01-28 21:41:00,2026-01-29 02:54:00,313,No,Closed,"No further action required, false positive."
ALT00095,MGM Resorts,Low,Misconfiguration Alert,Web Application,2026-01-30 13:09:00,,,Yes,In Progress,"Reviewed and closed, no malicious activity confirmed."
ALT00030,MGM Resorts,High,Data Exfiltration Attempt,Network Device,2026-01-30 15:05:00,2026-01-30 15:47:00,42,No,Closed,User account temporarily suspended pending review.
ALT00002,MGM Resorts,Critical,Insider Threat Indicator,Server,2026-01-31 02:41:00,2026-01-31 09:08:00,387,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00023,MGM Resorts,Low,Data Exfiltration Attempt,Network Device,2026-02-02 06:45:00,2026-02-02 12:55:00,370,Yes,Closed,
ALT00007,MGM Resorts,Low,DDoS Attempt,Database,2026-02-07 14:10:00,2026-02-07 16:00:00,110,No,Closed,"No further action required, false positive."
ALT00090,MGM Resorts,High,Ransomware Indicator,Network Device,2026-02-09 07:51:00,,,Yes,Open,User account temporarily suspended pending review.
ALT00014,MGM Resorts,Medium,Phishing Campaign,Endpoint,2026-02-20 22:31:00,,,Yes,Open,"Reviewed and closed, no malicious activity confirmed."
ALT00100,MGM Resorts,High,Malware Detection,Database,2026-02-23 03:28:00,2026-02-23 05:57:00,149,Yes,Closed,User account temporarily suspended pending review.
ALT00034,MGM Resorts,Low,Privilege Escalation,Database,2026-02-25 01:11:00,2026-02-25 04:35:00,204,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00032,MGM Resorts,Low,Insider Threat Indicator,Endpoint,2026-02-28 02:48:00,2026-02-28 06:13:00,205,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00035,MGM Resorts,High,Insider Threat Indicator,Network Device,2026-03-02 03:11:00,2026-03-02 08:13:00,302,No,Closed,
ALT00054,MGM Resorts,Medium,Credential Stuffing,Cloud Storage,2026-03-03 17:23:00,2026-03-03 18:16:00,53,No,Closed,"Blocked at firewall, source IP added to watchlist."
ALT00067,MGM Resorts,Low,Misconfiguration Alert,Web Application,2026-03-03 19:13:00,,,No,Open,User account temporarily suspended pending review.
ALT00008,MGM Resorts,Low,Unauthorized Access,Web Application,2026-03-04 03:04:00,2026-03-04 07:07:00,243,No,Closed,
ALT00022,MGM Resorts,Low,Phishing Campaign,Server,2026-03-05 03:52:00,2026-03-05 08:21:00,269,No,Closed,"No further action required, false positive."
ALT00088,MGM Resorts,Critical,DDoS Attempt,Network Device,2026-03-05 16:12:00,2026-03-05 20:27:00,255,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00053,MGM Resorts,Medium,Misconfiguration Alert,Database,2026-03-06 15:23:00,2026-03-06 16:20:00,57,Yes,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00077,MGM Resorts,Low,Privilege Escalation,Endpoint,2026-03-07 22:29:00,2026-03-08 04:57:00,388,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00078,MGM Resorts,Low,Misconfiguration Alert,Server,2026-03-12 09:54:00,2026-03-12 10:47:00,53,Yes,Closed,"Blocked at firewall, source IP added to watchlist."
