alert_id,entity_name,severity,category,asset_type,created_time,closed_time,closure_duration_minutes,escalated,status,investigation_notes
ALT00015,Equifax,Medium,Credential Stuffing,Server,2026-01-02 08:17:00,2026-01-02 11:47:00,210,Yes,Closed,Escalated to threat hunting team for deeper investigation.
ALT00031,Equifax,High,Credential Stuffing,Cloud Storage,2026-01-03 17:01:00,2026-01-03 20:46:00,225,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00025,Equifax,Critical,Data Exfiltration Attempt,Endpoint,2026-01-07 03:53:00,,,No,In Progress,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00048,Equifax,Medium,DDoS Attempt,Database,2026-01-07 21:26:00,,,No,Open,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00085,Equifax,Medium,Privilege Escalation,Endpoint,2026-01-15 08:38:00,2026-01-15 14:30:00,352,No,Closed,User account temporarily suspended pending review.
ALT00089,Equifax,Critical,DDoS Attempt,Endpoint,2026-01-16 22:18:00,2026-01-17 03:00:00,282,Yes,Closed,"No further action required, false positive."
ALT00003,Equifax,Medium,Misconfiguration Alert,Server,2026-01-22 01:44:00,2026-01-22 03:20:00,96,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00041,Equifax,High,Misconfiguration Alert,Server,2026-01-28 19:34:00,2026-01-29 00:43:00,309,Yes,Closed,"Blocked at firewall, source IP added to watchlist."
ALT00076,Equifax,High,Malware Detection,Server,2026-01-30 11:11:00,2026-01-30 15:38:00,267,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00083,Equifax,Low,Malware Detection,Cloud Storage,2026-01-31 12:38:00,2026-01-31 15:48:00,190,No,Closed,User account temporarily suspended pending review.
ALT00051,Equifax,High,Malware Detection,Endpoint,2026-02-01 06:06:00,2026-02-01 10:00:00,234,No,Closed,User account temporarily suspended pending review.
ALT00016,Equifax,High,Insider Threat Indicator,Web Application,2026-02-01 15:07:00,2026-02-01 16:29:00,82,Yes,Closed,"No further action required, false positive."
ALT00019,Equifax,Low,Malware Detection,Cloud Storage,2026-02-08 15:12:00,2026-02-08 15:48:00,36,Yes,Closed,Escalated to threat hunting team for deeper investigation.
ALT00001,Equifax,Low,Privilege Escalation,Network Device,2026-02-13 17:45:00,2026-02-13 23:25:00,340,No,Closed,User account temporarily suspended pending review.
ALT00022,Equifax,Critical,Insider Threat Indicator,Web Application,2026-02-15 12:14:00,2026-02-15 17:42:00,328,No,Closed,"Blocked at firewall, source IP added to watchlist."
ALT00090,Equifax,Medium,Privilege Escalation,Database,2026-02-17 07:06:00,2026-02-17 10:56:00,230,No,Closed,
ALT00017,Equifax,High,Data Exfiltration Attempt,Web Application,2026-02-18 21:58:00,2026-02-18 23:12:00,74,Yes,Closed,User account temporarily suspended pending review.
ALT00005,Equifax,High,DDoS Attempt,Web Application,2026-02-19 16:27:00,,,No,Open,"No further action required, false positive."
ALT00006,Equifax,Critical,Unauthorized Access,Network Device,2026-02-23 02:37:00,2026-02-23 04:40:00,123,No,Closed,
ALT00042,Equifax,Medium,Privilege Escalation,Server,2026-02-23 21:10:00,2026-02-24 00:44:00,214,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00029,Equifax,Low,Unauthorized Access,Cloud Storage,2026-02-26 07:43:00,,,No,Open,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00097,Equifax,Medium,Malware Detection,Database,2026-02-26 16:43:00,2026-02-26 20:52:00,249,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00011,Equifax,Low,Credential Stuffing,Cloud Storage,2026-02-28 00:05:00,2026-02-28 02:10:00,125,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00057,Equifax,High,Phishing Campaign,Server,2026-03-01 00:32:00,2026-03-01 03:58:00,206,Yes,Closed,"Correlated with SIEM logs across multiple hosts, identified lateral movement attempt, escalated."
ALT00055,Equifax,Low,Unauthorized Access,Database,2026-03-01 23:39:00,2026-03-02 01:18:00,99,No,Closed,"Blocked at firewall, source IP added to watchlist."
ALT00045,Equifax,High,Privilege Escalation,Server,2026-03-03 20:21:00,2026-03-04 01:49:00,328,No,Closed,
ALT00059,Equifax,Medium,Data Exfiltration Attempt,Web Application,2026-03-06 03:44:00,2026-03-06 06:27:00,163,No,Closed,Escalated to threat hunting team for deeper investigation.
ALT00023,Equifax,High,Malware Detection,Network Device,2026-03-08 14:15:00,2026-03-08 16:03:00,108,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00037,Equifax,Low,Insider Threat Indicator,Server,2026-03-11 11:12:00,2026-03-11 12:35:00,83,No,Closed,"Reviewed and closed, no malicious activity confirmed."
ALT00012,Equifax,High,Data Exfiltration Attempt,Endpoint,2026-03-12 10:17:00,2026-03-12 16:31:00,374,No,Closed,User account temporarily suspended pending review.
ALT00009,Equifax,Low,Credential Stuffing,Server,2026-03-20 02:49:00,2026-03-20 07:18:00,269,No,Closed,"Confirmed benign, closed after log review."
ALT00086,Equifax,Medium,Ransomware Indicator,Web Application,2026-03-20 18:42:00,2026-03-20 19:05:00,23,Yes,Closed,"No further action required, false positive."
ALT00095,Equifax,Medium,Unauthorized Access,Server,2026-03-22 12:35:00,2026-03-22 13:14:00,39,No,Closed,"Confirmed benign, closed after log review."
ALT00010,Equifax,Medium,Unauthorized Access,Server,2026-03-22 14:12:00,2026-03-22 19:53:00,341,Yes,Closed,"No further action required, false positive."
ALT00062,Equifax,Low,Malware Detection,Server,2026-03-23 12:12:00,2026-03-23 17:32:00,320,No,Closed,User account temporarily suspended pending review.
ALT00061,Equifax,Low,Privilege Escalation,Network Device,2026-03-24 04:12:00,2026-03-24 10:11:00,359,No,Closed,"Confirmed benign, closed after log review."
