alert_id,entity_name,severity,created_time,closed_time,escalated,investigation_notes,asset_type
ALT003205,Indus Financial Services,medium,2026-04-22 09:54:20,2026-04-22 14:56:28,no,Coordinated with network team; ACL change on HOST-5841 explains traffic shift. Closed as benign positive.,Database
ALT001768,Deccan Health Network,medium,2026-05-12 04:58:31,2026-05-12 07:19:40,no,Reviewed EDR telemetry timeline; parent process traced to legitimate installer. Monitoring continued for 48 hours.,Server
ALT004192,Narmada Steel Works,critical,2026-02-25 17:15:58,,yes,Confirmed with asset owner that HOST-5916 was undergoing patch deployment.,IoT Device
ALT002659,Eastern Grid Utility,medium,2026-06-28 15:41:35,2026-06-28 19:32:42,no,Verified backup job schedule; traffic volume consistent with nightly replication. No further action required.,Endpoint
ALT000787,Arcadia Defence Systems,low,2026-05-25 04:44:14,2026-05-25 06:58:30,no,Queried SIEM for related events across 24h window; no corroborating activity found. No further action required.,Database
ALT001204,Arcadia Defence Systems,critical,2026-04-24 02:16:48,2026-04-24 06:01:22,yes,Reviewed privileged access logs; elevation was approved under ticket REQ-44692.,Identity Provider
ALT002445,Cauvery Logistics Corp,medium,2026-05-07 00:20:15,2026-05-07 05:14:24,no,Escalated to L2 after confirming lateral movement indicators on HOST-7544. Closed as benign positive.,Cloud Workload
ALT004132,Narmada Steel Works,low,2026-05-08 07:00:33,2026-05-08 12:52:08,no,Confirmed with asset owner that HOST-9301 was undergoing patch deployment. Added to suppression list after approval.,IoT Device
ALT003286,Jupiter Aviation Control,medium,2026-06-02 02:43:23,2026-06-02 07:20:22,yes,Ran memory capture on HOST-7849; no injected process artefacts identified. Root cause documented in case notes.,Server
ALT001454,Arcadia Defence Systems,low,2026-05-26 07:58:35,2026-05-26 13:11:32,no,Ran memory capture on HOST-1989; no injected process artefacts identified. Ticket closed with owner sign-off.,Identity Provider
ALT000663,Nilgiri Water Authority,low,2026-05-06 09:49:21,2026-05-06 12:57:03,yes,Ran memory capture on HOST-1106; no injected process artefacts identified. Ticket closed with owner sign-off.,Server
ALT002524,Eastern Grid Utility,medium,2026-03-12 16:14:30,2026-03-12 19:36:13,no,Reviewed EDR telemetry timeline; parent process traced to legitimate installer. Monitoring continued for 48 hours.,Endpoint
ALT003664,Krishna Port Authority,medium,2026-06-14 11:41:18,2026-06-14 14:59:34,yes,Analysed PCAP sample; payload matched benign monitoring agent heartbeat. No further action required.,Server
ALT002850,Godavari Chemicals,low,2026-05-15 18:23:26,2026-05-15 22:27:46,no,Compared hash against VirusTotal offline signature set; no detections. Closed as benign positive.,Firewall
ALT000204,Meridian Trust Bank,medium,2026-01-20 01:06:05,2026-01-20 01:08:22,no,"checked, ok",Cloud Workload
ALT000224,Meridian Trust Bank,low,2026-04-10 06:26:16,2026-04-10 06:28:57,yes,"checked, ok",Server
ALT001944,Apex Power Grid Ltd,low,2026-01-24 00:06:54,2026-01-24 04:11:33,no,Documented as benign positive; rule threshold adjusted after peer review. Closed as benign positive.,IoT Device
ALT001583,Konkan Maritime Ltd,high,2026-03-23 01:29:02,,yes,,Server
ALT001482,Konkan Maritime Ltd,critical,2026-01-24 21:19:12,2026-01-25 07:18:33,yes,Reviewed source IP 10.14.34.22 against internal threat intel; no IOC match. Closed as benign positive.,Server
ALT002388,Cauvery Logistics Corp,medium,2026-06-21 11:41:23,2026-06-21 16:15:16,no,Isolated endpoint HOST-5592 for forensic triage; full disk scan returned clean. Added to suppression list after approval.,Cloud Workload
ALT000260,Meridian Trust Bank,low,2026-04-11 14:04:11,2026-04-11 14:08:13,no,n/a,Database
ALT000808,Arcadia Defence Systems,medium,2026-04-02 12:18:45,2026-04-02 17:58:30,no,Queried SIEM for related events across 24h window; no corroborating activity found. Ticket closed with owner sign-off.,Endpoint
ALT002742,Godavari Chemicals,low,2026-01-03 15:28:45,2026-01-03 21:05:13,no,Confirmed geolocation anomaly caused by corporate VPN egress node change. Closed as benign positive.,Endpoint
ALT001620,Konkan Maritime Ltd,high,2026-03-28 17:35:01,2026-03-29 03:32:28,no,Analysed PCAP sample; payload matched benign monitoring agent heartbeat. Closed as benign positive.,Server
ALT001520,Konkan Maritime Ltd,low,2026-01-08 03:30:07,2026-01-08 14:52:48,no,"Checked DNS query history; domain registered 400+ days ago, low risk profile. Closed as benign positive.",Server
ALT003885,Malabar Gas Pipelines,medium,2026-05-01 22:05:40,2026-05-02 02:23:50,no,Validated certificate chain; expired intermediate replaced by infrastructure team. Closed as benign positive.,Database
ALT002975,Himalayan Healthcare Network,high,2026-05-18 14:32:49,2026-05-18 19:45:43,yes,Reviewed privileged access logs; elevation was approved under ticket REQ-84354. No further action required.,Identity Provider
ALT001052,Arcadia Defence Systems,low,2026-01-19 07:31:18,2026-01-19 09:46:32,no,Queried SIEM for related events across 24h window; no corroborating activity found. Root cause documented in case notes.,Server
ALT000584,Nilgiri Water Authority,medium,2026-06-23 16:06:15,2026-06-23 18:53:23,no,"Checked DNS query history; domain registered 400+ days ago, low risk profile. Monitoring continued for 48 hours.",Endpoint
ALT003311,Jupiter Aviation Control,low,2026-03-17 01:09:45,2026-03-17 04:17:08,no,Escalated to L2 after confirming lateral movement indicators on HOST-5045. Closed as benign positive.,Identity Provider
